,Unnamed: 0,distance_x,distance_y,angles,follower_vx,follower_vy,follower_omega,leader_vx,leader_vy,leader_omega,leader_x,leader_y,follower_x,follower_y
0,0,2.1530637741088867,0.0672788918018341,-0.3499998152256012,-0.0001027608013828,-0.04940082132816309,-5.39669190402492e-06,-0.0001022260985337,-5.568321626014949e-08,1.389125342532438e-10,1.7999999523162842,6.000005722045898,0.9985269904136658,7.9994683265686035
1,1,2.1529951572418216,0.06740732938051223,-0.3499998182058334,0.004837193793355279,-0.04947361983358854,-4.712099598691567e-06,0.0295430514961481,-4.7709594497291625e-08,-5.542544201375677e-08,1.7999999523162842,5.9990668296813965,0.9975557327270508,7.997444629669189
2,2,2.1529622983932497,0.06729473054409027,-0.35015018850564955,0.00934655997720258,-0.04956360656768078,0.004694768394738266,0.0596085339784622,-3.767618039773879e-08,-1.0438485986696833e-07,1.7999999523162842,5.997164726257324,0.9965945482254028,7.995390892028809
3,3,2.1528983931541443,0.06691537988185882,-0.3504434621632099,0.018228085639180797,-0.04964994600787753,0.009161050488689378,0.0896752774715423,-2.861378156637784e-08,-1.4727193331509625e-07,1.7999999523162842,5.994299411773682,0.9961668848991394,7.991893291473389
4,4,2.1528982181072234,0.06596228763759135,-0.35100457635223864,0.026382000865431476,-0.049752724942937435,0.017531431797270916,0.1197293400764465,-2.000676957436553e-08,-1.845299664182676e-07,1.7999999523162842,5.990471839904785,0.9957674145698548,7.988337516784668
5,5,2.1530430429029463,0.06426693977683781,-0.3518269529941678,0.033757594932817075,-0.04520429793398821,0.025696837529353745,0.1497725397348404,-1.1238321384610115e-08,-2.1569677244315247e-07,1.7999999523162842,5.985681533813477,0.996761679649353,7.985286712646484
6,6,2.153256664828777,0.061853422806590785,-0.35288499632504583,0.04505672548088668,-0.04075014962316671,0.03306170355511824,0.1798070073127746,-1.7980558153496416e-09,-2.392309284005023e-07,1.7999999523162842,5.979929924011231,0.9984139800071716,7.980897426605225
7,7,2.1535758824553963,0.05862178273731171,-0.35415474330509006,0.055617086534558866,-0.03209351560677099,0.039678340118227476,0.1999576091766357,7.550926994781548e-09,-2.353408490307629e-07,1.7999998331069946,5.973531723022461,1.0015051364898682,7.976916790008545
8,8,2.1539866791433284,0.05468038593441574,-0.355595428542414,0.0651196561260752,-0.023934466193959194,0.045020069147138055,0.200209692120552,1.4551407190310785e-08,-1.9087954683527641e-07,1.7999998331069946,5.967122077941895,1.0047311782836914,7.972992897033691
9,9,2.154327332937675,0.05005529448131019,-0.3572095830405819,0.07834704417023647,-0.016585401491086255,0.050440698532749635,0.2001775950193405,2.0436623060504644e-08,-1.4811925552749017e-07,1.7999998331069946,5.960713863372803,1.0085136890411377,7.96769380569458
10,10,2.1545873105203723,0.04466647568857039,-0.3589797823874713,0.09064254490763175,-0.005339139815354863,0.05531779721542247,0.2001423239707946,2.5438680495426524e-08,-1.0709931075325585e-07,1.7999998331069946,5.9543070793151855,1.0137273073196411,7.962820529937744
11,11,2.1547725337453736,0.03893251937790543,-0.36072505795197735,0.10168298180309142,0.0051857464466829395,0.05453886988905711,0.2001136392354965,2.9598950845866057e-08,-6.769297300479593e-08,1.7999998331069946,5.947902202606201,1.0190739631652832,7.958013534545898
12,12,2.1548886422253895,0.032720519725953016,-0.3624542202046846,0.11161905761427168,0.019477747346848772,0.054035927606948995,0.2000907212495803,3.29321885317313e-08,-2.9891644715007715e-08,1.7999998331069946,5.941497802734375,1.025849223136902,7.953779697418213
13,13,2.154945813769452,0.026408421135968994,-0.36401182819825423,0.12052792670607403,0.03257773291995274,0.04867466632108729,0.2000724226236343,3.5448383783887045e-08,6.214172731944245e-09,1.799999713897705,5.935094356536865,1.0327004194259644,7.949588298797607
14,14,2.154957023102956,0.020331686038101055,-0.36526404985268723,0.12847039129388185,0.044410782801480406,0.039131148996181864,0.2000578045845031,3.7157743548732476e-08,4.0460069072878475e-08,1.799999713897705,5.928691864013672,1.0395448207855225,7.945412635803223
15,15,2.1550839604487275,0.014484581618002961,-0.3662338838143332,0.13072297596381768,0.05504281766477642,0.030306664266193738,0.2000461369752884,3.80735727389947e-08,7.262993051426747e-08,1.799999713897705,5.922289848327637,1.0458053350448608,7.942675113677978
16,16,2.1553279514506687,0.009147601740204027,-0.36680960820584146,0.13255817404490708,0.06463821632203536,0.017990658871535815,0.2000368237495422,3.821422467353841e-08,1.024752691591857e-07,1.799999713897705,5.915887832641602,1.0520350933074951,7.939985275268555
17,17,2.155682106798461,0.004167160317280355,-0.36701097041191444,0.13410960922630427,0.07792265179041394,0.006292285196963876,0.2000294029712677,3.7604504399268996e-08,1.2973198693089216e-07,1.799999713897705,5.909486770629883,1.0596179962158203,7.93783712387085
18,18,2.1561423003544546,-0.00022724486144321942,-0.36674796894033357,0.13546863457553204,0.0902562108244005,-0.008219254011228139,0.2000234723091125,3.6276514236988084e-08,1.541350087563842e-07,1.7999995946884155,5.903085708618164,1.0673096179962158,7.935712814331055
19,19,2.156704270232034,-0.004166156501340307,-0.36603577454244735,0.1365417116373117,0.10586487501312819,-0.02225613027302722,0.2000187337398529,3.4270151161308604e-08,1.7543094088523506e-07,1.7999995946884155,5.896684646606445,1.0763120651245115,7.934100151062012
20,20,2.1573620349660327,-0.007851331711501566,-0.3649192796887961,0.13740832568609732,0.12490750178202563,-0.0348902338399437,0.2000149488449096,3.16331885130694e-08,1.9338887113917733e-07,1.7999995946884155,5.890284061431885,1.0867944955825806,7.933029651641846
