,angles
146,-0.11425860767808527
147,-0.11435024704259904
148,-0.11439507394184711
149,-0.11439700817301905
150,-0.11435990537913174
151,-0.11429133643846091
152,-0.11452501681572533
153,-0.1150168307166666
154,-0.1157401869483027
155,-0.11667150286917981
156,-0.11778960551099565
157,-0.11907449595877458
158,-0.12050907819940682
159,-0.12207827576524645
160,-0.12376855559819903
161,-0.12528968823856682
162,-0.12661964124059588
163,-0.1277773522640697
164,-0.12877974897373604
165,-0.12938942304029064
166,-0.12958395443058604
167,-0.1294048127087646
168,-0.1288900804417753
169,-0.12807432474768968
170,-0.12698811288544665
171,-0.12567969482424077
172,-0.12415085424139097
173,-0.12242317443329685
174,-0.12051499481712513
175,-0.11844360392434655
176,-0.1162243580324345
177,-0.11387247477497695
178,-0.1114016582178417
179,-0.1088234999424824
180,-0.1065004499536701
181,-0.10437275008397828
182,-0.10275062280330834
183,-0.1018845269748608
184,-0.10169985336086508
185,-0.10212892391104716
186,-0.1031106577618648
187,-0.10458991226289235
188,-0.10651707020461763
189,-0.10854740918034496
190,-0.11065578145105404
191,-0.11283397390531384
192,-0.11507444424110844
193,-0.11737099447260672
194,-0.11971754275331235
195,-0.12210916080387832
196,-0.1245416560618198
197,-0.12701087524128998
198,-0.12923441973000507
199,-0.13094361257555848
200,-0.13212710438969222
201,-0.132837074865125
202,-0.13347363877524945
203,-0.13401193685737262
204,-0.13446000606483527
205,-0.13482518098354018
206,-0.13511711598872847
207,-0.13534212179279065
208,-0.1355077838953948
209,-0.1353643074086263
210,-0.13488056222655959
211,-0.13409006559901165
212,-0.1330240477387851
213,-0.1320595682500075
214,-0.13115554221018585
215,-0.13030471579025177
216,-0.12950094648411856
217,-0.12873915679643438
218,-0.12801668358495727
219,-0.12732850592718328
220,-0.1270016394381446
221,-0.1269865851692607
222,-0.12725249419441073
223,-0.12777069052902085
224,-0.1285168320612361
225,-0.1294679976114258
226,-0.13032521038728578
227,-0.13105789926181097
228,-0.13167935407039397
229,-0.13220148649105612
230,-0.13263373404403792
231,-0.13298562463814256
232,-0.13326511052275514
233,-0.1334795498879982
234,-0.13363469934751687
235,-0.1337365013029286
236,-0.13379183724517602
237,-0.13380391432340422
238,-0.13377721041585933
239,-0.1337162384105855
240,-0.1336235161465228
241,-0.1335023497797686
242,-0.13335570143976552
243,-0.13318534446345637
244,-0.1329935483865756
245,-0.13278261656160514
246,-0.13255449385579252
247,-0.13231255487623056
248,-0.13205730059166765
249,-0.1315339026309849
250,-0.1307098948172749
