,angles
0,7.209686714304554e-07
1,0.00036853667888292734
2,0.0014194684300713142
3,0.0034371234095596226
4,0.00584118463395562
5,0.008007138426290658
6,0.009372787994313271
7,0.009889422477484944
8,0.01035173775288569
9,0.01069254521161112
10,0.010922740119365969
11,0.011714538195134492
12,0.012427916236282522
13,0.01299356380781035
14,0.013501959864918874
15,0.013959770567379426
16,0.014371863343264483
17,0.014742627446006955
18,0.015001771520809419
19,0.014648402169706877
20,0.014326967539217268
21,0.013965253468745501
22,0.013565719741338671
23,0.013204746780026685
24,0.012805720329042097
25,0.011859758899887607
26,0.010417703970362447
27,0.008528354127636322
28,0.00682299683341157
29,0.004700492097575414
30,0.002785048040275832
31,0.0009903687112257696
32,-4.1296355629607054e-05
33,-0.000967782141451206
34,-0.002388936323688165
35,-0.004374565147846067
36,-0.0068680435465179
37,-0.00981543533918875
38,-0.012473890092232355
39,-0.014280760800473559
40,-0.015903980969458203
41,-0.017951078509452382
42,-0.020384681041683943
43,-0.023279660700839307
44,-0.025892144077195096
45,-0.027658712684965146
46,-0.02868560082005499
47,-0.029048072558227493
48,-0.029371442060098025
49,-0.029737178603194622
50,-0.030650948690815957
51,-0.03182642068634404
52,-0.03300129314812991
53,-0.03456054127710732
54,-0.03684179071930947
55,-0.040126902619134486
56,-0.04466843926232852
57,-0.05057674935449774
58,-0.057717480876948966
59,-0.06596880580685123
60,-0.07459019803138002
61,-0.08354379698453626
62,-0.09219416497485292
63,-0.10117193476858544
64,-0.10984334125968342
65,-0.11820886976885071
66,-0.12574224126965344
67,-0.13311015474167948
68,-0.14030231601626408
69,-0.14677842766014396
70,-0.15253051945538212
71,-0.15763194557104307
72,-0.1621472018606108
73,-0.16613518544852507
74,-0.1696489678217748
75,-0.17273596910182645
76,-0.1749274699766398
77,-0.1761907370876336
78,-0.17661756563106748
79,-0.17699615318703268
80,-0.17726366960222373
81,-0.1774293548752205
82,-0.17750548126304178
83,-0.1775001076043012
84,-0.17742031102004904
85,-0.17793468342384627
86,-0.17958611732269164
87,-0.18166184710453304
88,-0.18353367704442455
89,-0.18514329962394813
90,-0.18600769733603756
91,-0.18607702310576402
92,-0.1854294698449465
93,-0.18413994857780563
94,-0.1829752831081667
95,-0.1818537078875409
96,-0.18142954968614336
97,-0.18104956713202258
98,-0.18063469082310193
99,-0.18018729105765574
100,-0.17971073492027775
101,-0.17870169791869034
102,-0.17709199708662962
103,-0.17493992258872865
104,-0.1730045605578984
105,-0.1711938451718359
106,-0.16949400642434373
107,-0.1678913370274271
108,-0.16637244541967794
109,-0.16492870050243927
110,-0.16355236408924215
111,-0.16223982010318472
112,-0.16098350912958648
113,-0.15977708814111588
114,-0.158616864540284
115,-0.1574967895669685
116,-0.15641309869792572
117,-0.15535996454214912
118,-0.1543372222535836
119,-0.1533405571061099
120,-0.15303064634302777
121,-0.15275534167795943
122,-0.15243069983937949
123,-0.15206027022676413
124,-0.15165116481491994
125,-0.15120637797572375
126,-0.1513913218670323
127,-0.151560018464318
128,-0.1516355469862143
129,-0.15162828371282097
130,-0.15154624854346221
131,-0.15139397866863105
132,-0.15118203360442603
133,-0.15091431705895916
134,-0.1512590906209694
135,-0.1521277258861315
136,-0.15346682489528518
137,-0.15523150194240443
138,-0.15682271088856006
139,-0.15884107171622702
140,-0.16066007005388544
141,-0.16222082841886581
142,-0.16354786248648315
143,-0.1646655132619513
144,-0.1655967530829882
145,-0.166358214368508
146,-0.1669663713128141
147,-0.16743857941783408
148,-0.1677880059041703
149,-0.16751744333131233
150,-0.16727171674272226
151,-0.16764149071187498
152,-0.1685397356874709
153,-0.16991184772196094
154,-0.17170959819384826
155,-0.1738897407862104
156,-0.17641110969894144
157,-0.1792371265886397
158,-0.18233733857853743
159,-0.18568441258534965
160,-0.18925272810457805
161,-0.19302117277382605
162,-0.1969696189391505
163,-0.20107959706436612
164,-0.20533700137303187
165,-0.20972600146203557
166,-0.2142345210677622
167,-0.21885076172049983
168,-0.22300721711125499
169,-0.22666973626202216
170,-0.22988980790006402
171,-0.232712225139385
172,-0.2351766610326578
173,-0.2373213426037618
174,-0.2386643042353381
175,-0.23916568161734245
176,-0.2389895451219824
177,-0.23812535096573356
178,-0.23664206882745792
179,-0.23460436422017905
180,-0.23206544421661815
181,-0.22907451244487392
182,-0.2256742413547101
183,-0.22201012483594973
184,-0.21870200852773927
185,-0.21564857381781047
