,episode,return,algo
127,189000.0,-65.10948588849506,teacher policy
128,192000.0,-62.194237455701824,teacher policy
129,192000.0,-65.14562426520759,teacher policy
130,195000.0,-62.245630263960834,teacher policy
131,195000.0,-65.17052046520617,teacher policy
132,198000.0,-62.279179114980444,teacher policy
133,198000.0,-65.21257605932001,teacher policy
134,201000.0,-62.31968745162615,teacher policy
135,201000.0,-65.18932780351447,teacher policy
136,204000.0,-62.38800897358973,teacher policy
137,204000.0,-65.1958371153641,teacher policy
138,207000.0,-62.45572013811207,teacher policy
139,207000.0,-65.20791631421893,teacher policy
140,210000.0,-62.50551335864084,teacher policy
141,210000.0,-65.10092061610838,teacher policy
142,213000.0,-62.541974899329354,teacher policy
143,213000.0,-65.03275306438192,teacher policy
144,216000.0,-62.54207778415527,teacher policy
145,216000.0,-65.07406669205912,teacher policy
146,219000.0,-62.576692313677235,teacher policy
147,219000.0,-65.08978994806169,teacher policy
148,222000.0,-62.607170949093145,teacher policy
149,222000.0,-65.11098166741101,teacher policy
150,225000.0,-62.65713248006245,teacher policy
151,225000.0,-65.15176236975614,teacher policy
152,228000.0,-62.69056301161354,teacher policy
153,228000.0,-65.18590867143328,teacher policy
154,231000.0,-62.577345623451585,teacher policy
155,231000.0,-65.19592859614914,teacher policy
156,234000.0,-62.61274161259388,teacher policy
157,234000.0,-65.22676863018319,teacher policy
158,237000.0,-62.61701616876974,teacher policy
159,237000.0,-65.25657941846819,teacher policy
160,240000.0,-62.648722476253724,teacher policy
161,240000.0,-65.25587913503047,teacher policy
162,243000.0,-62.69268055236341,teacher policy
163,243000.0,-65.28306013631423,teacher policy
164,246000.0,-62.670070074861066,teacher policy
165,246000.0,-65.30778620165435,teacher policy
166,249000.0,-62.654653445092364,teacher policy
167,249000.0,-65.31328788728923,teacher policy
168,252000.0,-62.64525574972567,teacher policy
169,252000.0,-65.32132831240477,teacher policy
170,255000.0,-62.66063661495577,teacher policy
171,255000.0,-65.3394262822895,teacher policy
172,258000.0,-61.97684649007853,teacher policy
173,258000.0,-65.3480953677277,teacher policy
174,261000.0,-61.94593382785508,teacher policy
175,261000.0,-65.38750919279502,teacher policy
176,264000.0,-62.02308784416907,teacher policy
177,264000.0,-65.40480707412466,teacher policy
178,267000.0,-62.05122075281303,teacher policy
179,267000.0,-65.4277911023199,teacher policy
180,270000.0,-62.09460750108685,teacher policy
181,270000.0,-65.43223698925787,teacher policy
182,273000.0,-62.012445880850265,teacher policy
183,273000.0,-65.45218203218755,teacher policy
184,276000.0,-61.64221832553795,teacher policy
185,276000.0,-65.46441692547936,teacher policy
186,279000.0,-61.67884493681039,teacher policy
187,279000.0,-65.38666545220414,teacher policy
188,282000.0,-61.71729638890426,teacher policy
189,282000.0,-65.39293788046474,teacher policy
190,285000.0,-61.61793504974922,teacher policy
191,285000.0,-65.20100487358788,teacher policy
192,288000.0,-61.693107934447596,teacher policy
193,288000.0,-65.00249686107706,teacher policy
194,291000.0,-61.6990023980731,teacher policy
195,291000.0,-65.01531405032037,teacher policy
196,294000.0,-61.15648017481867,teacher policy
197,294000.0,-64.97757948562256,teacher policy
198,297000.0,-61.05005238406643,teacher policy
199,297000.0,-64.98950158975777,teacher policy
200,300000.0,-60.93817792329917,teacher policy
201,300000.0,-65.01458674106809,teacher policy
202,303000.0,-61.02025375081951,teacher policy
203,303000.0,-65.06190685317056,teacher policy
204,306000.0,-60.82928211696523,teacher policy
205,306000.0,-65.0664929958923,teacher policy
206,309000.0,-60.79314767701851,teacher policy
207,309000.0,-65.07413515135532,teacher policy
208,312000.0,-60.868086572843374,teacher policy
209,312000.0,-65.08831391683408,teacher policy
210,315000.0,-60.9333192932908,teacher policy
211,315000.0,-65.09764886530404,teacher policy
212,318000.0,-61.017013289505066,teacher policy
213,318000.0,-65.11090417046866,teacher policy
214,321000.0,-60.600335438265745,teacher policy
215,321000.0,-65.12006395571163,teacher policy
216,324000.0,-60.628690057625434,teacher policy
217,324000.0,-65.12950242879467,teacher policy
218,327000.0,-60.66664680456863,teacher policy
219,327000.0,-65.16771575546291,teacher policy
220,330000.0,-60.53571758551827,teacher policy
221,330000.0,-65.18711122673061,teacher policy
222,333000.0,-60.5075422963079,teacher policy
223,333000.0,-65.2036357258288,teacher policy
224,336000.0,-60.44892007587003,teacher policy
225,336000.0,-65.20955934920285,teacher policy
226,339000.0,-60.525981408239346,teacher policy
227,339000.0,-65.22904736143754,teacher policy
228,342000.0,-60.44037053251596,teacher policy
229,342000.0,-65.25036973452129,teacher policy
230,345000.0,-60.53393784720744,teacher policy
231,345000.0,-65.2592566879754,teacher policy
232,348000.0,-60.45076961882775,teacher policy
233,348000.0,-65.29471471217487,teacher policy
234,351000.0,-60.36377128577737,teacher policy
235,351000.0,-65.31512794356613,teacher policy
236,354000.0,-60.46486805244463,teacher policy
237,354000.0,-65.33817795427488,teacher policy
238,357000.0,-59.90837006883714,teacher policy
239,357000.0,-65.34625494084368,teacher policy
240,360000.0,-57.481845314249945,teacher policy
241,360000.0,-65.34880478709516,teacher policy
242,363000.0,-57.594791263189556,teacher policy
243,363000.0,-65.37501304804272,teacher policy
244,366000.0,-57.040200430601544,teacher policy
245,366000.0,-65.33322140524594,teacher policy
246,369000.0,-56.214268629631114,teacher policy
247,369000.0,-65.27850079427968,teacher policy
248,372000.0,-54.24591812489738,teacher policy
249,372000.0,-65.3006355513433,teacher policy
250,375000.0,-54.418425299508804,teacher policy
251,375000.0,-65.28253467503323,teacher policy
252,378000.0,-52.88168533546504,teacher policy
253,378000.0,-65.13971097738218,teacher policy
254,381000.0,-51.8482584387533,teacher policy
255,381000.0,-65.18238520265875,teacher policy
256,384000.0,-50.816123592243855,teacher policy
257,384000.0,-65.18353013166221,teacher policy
258,387000.0,-51.062773074744676,teacher policy
259,387000.0,-65.19369009543522,teacher policy
260,390000.0,-50.970297825652125,teacher policy
261,390000.0,-65.22845170002066,teacher policy
262,393000.0,-50.45460524804533,teacher policy
263,393000.0,-65.24536856689915,teacher policy
264,396000.0,-49.85977766945162,teacher policy
265,396000.0,-65.26785713061976,teacher policy
266,399000.0,-46.604573388035234,teacher policy
267,399000.0,-65.27277907125932,teacher policy
268,402000.0,-46.51892296031359,teacher policy
269,402000.0,-65.29345111434586,teacher policy
270,405000.0,-45.36118102912245,teacher policy
271,405000.0,-65.02892791725425,teacher policy
272,408000.0,-43.72895205842708,teacher policy
273,408000.0,-65.00813237892869,teacher policy
274,411000.0,-43.9997381600808,teacher policy
275,411000.0,-65.03708502676028,teacher policy
276,414000.0,-36.39363438809012,teacher policy
277,414000.0,-65.0653988071821,teacher policy
278,417000.0,-35.43564374988886,teacher policy
279,417000.0,-64.97143763279628,teacher policy
280,420000.0,-33.83082707316379,teacher policy
281,420000.0,-64.99652578687864,teacher policy
282,423000.0,-31.0429184174427,teacher policy
283,423000.0,-65.0232758741684,teacher policy
284,426000.0,-28.22253883174765,teacher policy
285,426000.0,-63.65772414452683,teacher policy
286,429000.0,-23.87618284271035,teacher policy
287,429000.0,-62.298047292251525,teacher policy
288,432000.0,-15.58627271124676,teacher policy
289,432000.0,-60.98341004635766,teacher policy
290,435000.0,-7.085869888857754,teacher policy
291,435000.0,-59.69738335544027,teacher policy
292,438000.0,-5.368772356498078,teacher policy
293,438000.0,-58.41830202133928,teacher policy
294,441000.0,2.826678652155328,teacher policy
295,441000.0,-57.178305731889054,teacher policy
296,444000.0,4.926963325953654,teacher policy
297,444000.0,-55.94193001642119,teacher policy
298,447000.0,8.00409468321388,teacher policy
299,447000.0,-54.73809019538964,teacher policy
300,450000.0,10.741599535765426,teacher policy
301,450000.0,-53.496791068483795,teacher policy
302,453000.0,18.74509457141731,teacher policy
303,453000.0,-51.88177513847154,teacher policy
304,456000.0,26.70803691827022,teacher policy
305,456000.0,-50.7551439691982,teacher policy
306,459000.0,28.37609312936771,teacher policy
307,459000.0,-49.66273899630838,teacher policy
308,462000.0,35.98936289275692,teacher policy
309,462000.0,-48.603100701977915,teacher policy
310,465000.0,43.2751597413471,teacher policy
311,465000.0,-47.30082369160046,teacher policy
312,468000.0,50.393653738902984,teacher policy
313,468000.0,-46.26908105199697,teacher policy
314,471000.0,57.44236330572649,teacher policy
315,471000.0,-45.26017556621094,teacher policy
316,474000.0,64.29738139605728,teacher policy
317,474000.0,-44.25674604170313,teacher policy
318,477000.0,65.16235165105545,teacher policy
319,477000.0,-43.21124902980461,teacher policy
320,480000.0,72.22144714733122,teacher policy
321,480000.0,-42.17592755262649,teacher policy
322,483000.0,71.9757574469383,teacher policy
323,483000.0,-41.22176904796068,teacher policy
324,486000.0,78.46914146792142,teacher policy
325,486000.0,-40.289577624520994,teacher policy
326,489000.0,79.10956895274145,teacher policy
327,489000.0,-39.35845220972589,teacher policy
328,492000.0,80.84906153364756,teacher policy
329,492000.0,-38.14758443506262,teacher policy
330,495000.0,82.57349570824805,teacher policy
331,495000.0,-37.281733423851605,teacher policy
332,498000.0,88.77346500306747,teacher policy
333,498000.0,-36.42176388598981,teacher policy
334,501000.0,95.01114145495926,teacher policy
335,501000.0,-35.43342824816259,teacher policy
336,504000.0,101.0572559061335,teacher policy
337,504000.0,-34.5835867400841,teacher policy
338,507000.0,101.30796259465146,teacher policy
339,507000.0,-33.79359621866133,teacher policy
340,510000.0,99.56101217454554,teacher policy
341,510000.0,-32.794724721534195,teacher policy
342,513000.0,105.4311011351562,teacher policy
343,513000.0,-31.42080746099023,teacher policy
344,516000.0,111.24362230092963,teacher policy
345,516000.0,-30.527979232913,teacher policy
346,519000.0,111.347198570121,teacher policy
347,519000.0,-29.658170533264506,teacher policy
348,522000.0,116.92730171785921,teacher policy
349,522000.0,-28.595035809122653,teacher policy
350,525000.0,114.7192459483946,teacher policy
351,525000.0,-27.886127494063246,teacher policy
352,528000.0,115.87751453284469,teacher policy
353,528000.0,-26.912068121672213,teacher policy
354,531000.0,121.63947474023468,teacher policy
355,531000.0,-26.0978334120708,teacher policy
356,534000.0,121.54481005469512,teacher policy
357,534000.0,-25.47134213689579,teacher policy
358,537000.0,121.32619794173598,teacher policy
359,537000.0,-24.689597331511386,teacher policy
360,540000.0,119.02119818334072,teacher policy
361,540000.0,-23.758686244256157,teacher policy
362,543000.0,124.56549406830672,teacher policy
363,543000.0,-23.10932459212494,teacher policy
364,546000.0,130.12216148186246,teacher policy
365,546000.0,-22.54319767059494,teacher policy
366,549000.0,135.24549706081896,teacher policy
367,549000.0,-21.92310764296429,teacher policy
368,552000.0,140.5740539164776,teacher policy
369,552000.0,-21.34952967589602,teacher policy
370,555000.0,145.97543660767928,teacher policy
371,555000.0,-20.763557148784347,teacher policy
372,558000.0,146.2648851661751,teacher policy
373,558000.0,-19.997736079050846,teacher policy
374,561000.0,151.26031683296878,teacher policy
375,561000.0,-19.267617935838967,teacher policy
376,564000.0,151.92373567941488,teacher policy
377,564000.0,-18.563140973850704,teacher policy
378,567000.0,156.77568454981096,teacher policy
379,567000.0,-17.850310161209627,teacher policy
380,570000.0,161.71213191838507,teacher policy
381,570000.0,-17.099798556374108,teacher policy
382,573000.0,166.4451835915408,teacher policy
383,573000.0,-16.451996310832563,teacher policy
384,576000.0,171.2218786745928,teacher policy
385,576000.0,-16.001582788424503,teacher policy
386,579000.0,175.68382904055406,teacher policy
387,579000.0,-15.579076920009529,teacher policy
388,582000.0,180.4873039490008,teacher policy
389,582000.0,-15.119521291033166,teacher policy
390,585000.0,179.2589117823743,teacher policy
391,585000.0,-14.102702917214456,teacher policy
392,588000.0,183.76877260922683,teacher policy
393,588000.0,-13.695287530745166,teacher policy
394,591000.0,188.15807916387823,teacher policy
395,591000.0,-13.350550328714247,teacher policy
396,594000.0,192.32390561771004,teacher policy
397,594000.0,-12.930100754024728,teacher policy
398,597000.0,196.40360609422305,teacher policy
399,597000.0,-12.536228200614156,teacher policy
400,600000.0,200.32019766862766,teacher policy
401,600000.0,-12.206185094121404,teacher policy
402,603000.0,204.2005515277551,teacher policy
403,603000.0,-11.843620687893273,teacher policy
404,606000.0,207.98043454016874,teacher policy
405,606000.0,-11.23941245870572,teacher policy
406,609000.0,206.06004421789567,teacher policy
407,609000.0,-10.859899935849965,teacher policy
408,612000.0,209.9131475327565,teacher policy
409,612000.0,-10.433707338744293,teacher policy
410,615000.0,209.15102258258966,teacher policy
411,615000.0,-10.004431080153001,teacher policy
412,618000.0,213.08214275593787,teacher policy
413,618000.0,-9.197692983452285,teacher policy
414,621000.0,216.92127504730348,teacher policy
415,621000.0,-8.870790515384801,teacher policy
416,624000.0,220.7593601664746,teacher policy
417,624000.0,-8.27764365649312,teacher policy
418,627000.0,219.68331389332087,teacher policy
419,627000.0,-7.669686150794897,teacher policy
420,630000.0,223.20402078439977,teacher policy
421,630000.0,-7.230175942183296,teacher policy
422,633000.0,226.6365401001571,teacher policy
423,633000.0,-6.980497807861115,teacher policy
424,636000.0,230.09379464971644,teacher policy
425,636000.0,-6.692097721088658,teacher policy
426,639000.0,228.9212693426596,teacher policy
427,639000.0,-6.475853728092666,teacher policy
428,642000.0,232.46621858959548,teacher policy
