,Unnamed: 0,distance_x,distance_y,angles,follower_vx,follower_vy,follower_omega,leader_vx,leader_vy,leader_omega,leader_x,leader_y,follower_x,follower_y
13,13,1.669600159339085,-1.4223953069681623,-0.33163346398174254,-0.0672899279296546,0.029252923657881964,-0.09777201173128412,0.2001025080680847,-1.7007449741868186e-06,1.807509590889822e-07,-41.43509292602539,45.0,-43.53630065917969,45.806636810302734
14,14,1.6808152113067878,-1.4190586311907796,-0.3282212783244206,-0.07053001612128157,0.02639184222921937,-0.1065774556167876,0.2000816911458969,-1.3761828085989691e-06,1.9580862442580843e-07,-41.42869186401367,45.0,-43.53934860229492,45.805702209472656
15,15,1.6927134436703717,-1.414968696530869,-0.3245174052727479,-0.0733423826667786,0.019402922254549357,-0.11569814498734074,0.2000651210546493,-1.1153520063089672e-06,2.0422478996806606e-07,-41.42228698730469,45.0,-43.54197311401367,45.80345153808594
16,16,1.7050816037360128,-1.4101634567644092,-0.32055157086958813,-0.07153156936822418,0.012429553847086643,-0.12388883634369013,0.2000519037246704,-9.055999612428424e-07,2.0616629115011165e-07,-41.41588592529297,45.0,-43.543216705322266,45.80138397216797
17,17,1.717596514651474,-1.405039049297502,-0.31653488571980887,-0.06933357565693332,0.00615955278030535,-0.12548217419350538,0.2000413835048675,-7.368790875261766e-07,2.020114493461733e-07,-41.40948486328125,45.0,-43.54428863525391,45.79938125610352
18,18,1.7302723142170577,-1.3994274173169707,-0.3124455144602593,-0.06721036917649752,-0.003943135129646942,-0.12775774368850343,0.2000329941511154,-6.01173383074638e-07,1.9227894654250122e-07,-41.403079986572266,45.0,-43.54494094848633,45.79603576660156
19,19,1.7428543996212185,-1.3936766297211685,-0.3084659454761627,-0.06532651032522063,-0.013519511181625555,-0.12432984324581581,0.2000263035297393,-4.920594847135362e-07,1.7757601256107594e-07,-41.39667892456055,45.0,-43.54557037353516,45.79253387451172
20,20,1.755372240966317,-1.3876152554682288,-0.30456851519990114,-0.06361157159967488,-0.02682678600416734,-0.12176633383888445,0.2000209838151931,-4.043693309085938e-07,1.5856039681239056e-07,-41.39027786254883,45.0,-43.54580307006836,45.78760147094727
21,21,1.767681963585994,-1.3812550770817453,-0.3007444733188881,-0.05739840518240571,-0.0391521069431259,-0.11947537815027036,0.2000167220830917,-3.339297620641446e-07,1.3591419190106538e-07,-41.38387680053711,45.0,-43.54458999633789,45.78293991088867
22,22,1.7797883218614887,-1.3744741857866873,-0.2969868177598417,-0.0514154453042174,-0.05488504436826292,-0.11740352903711136,0.2000133395195007,-2.77360413747374e-07,1.1032487634565769e-07,-41.377479553222656,45.0,-43.542877197265625,45.776885986328125
23,23,1.7917070030649271,-1.3671492499846605,-0.2932888502859205,-0.04597349606496316,-0.07404693186773881,-0.11554071406937244,0.2000106424093246,-2.319164735808954e-07,8.247325666843609e-08,-41.37107849121094,45.0,-43.54075241088867,45.769287109375
24,24,1.8033051883709224,-1.3593156721656072,-0.28964419081656306,-0.03640478827842077,-0.09165300924027583,-0.1138765411116177,0.2000084817409515,-1.953652741804035e-07,5.302420191810597e-08,-41.36467742919922,45.0,-43.53718185424805,45.76193237304688
25,25,1.8145975228129438,-1.3508732664404406,-0.28604797644777447,-0.027397577642989168,-0.11214193998376686,-0.11236461444534308,0.2000067681074142,-1.6588926143867869e-07,2.26209895259899e-08,-41.3582763671875,45.0,-43.53313446044922,45.753173828125
26,26,1.8256086667756986,-1.3417181683616126,-0.2824953686299624,-0.019229489278428574,-0.13558543889463087,-0.11100383574221236,0.2000053972005844,-1.4200891484961178e-07,-8.119204863987761e-09,-41.35187530517578,45.0,-43.52870178222656,45.74285888671875
27,27,1.8365244651181176,-1.3316530805560605,-0.27885157237375097,-0.011835261996060161,-0.15698352308935054,-0.11385510690021844,0.200004294514656,-1.2252135661583452e-07,-3.8609101693509735e-08,-41.34547424316406,45.0,-43.52426910400391,45.73241424560547
