,Unnamed: 0,distance_x,distance_y,angles,follower_vx,follower_vy,follower_omega,leader_vx,leader_vy,leader_omega,leader_x,leader_y,follower_x,follower_y
0,0,2.1542506217956543,-0.0666420683264732,0.3502462804317474,-0.0258248820900917,0.0171772986650466,-0.0003978521563112,-9.658442286308856e-05,-5.659587642981023e-08,1.2980913566273955e-10,-7.00000524520874,-4.5,-9.001046180725098,-3.698038101196289
1,1,2.1543262720108034,-0.06586266010999675,0.3505067646503448,-0.0225308118853718,0.011003796756267474,-0.008923819893971017,0.0028668775586993393,-5.5757929118271934e-08,-5.4255305276251765e-09,-6.999066352844238,-4.5,-9.001132011413574,-3.700018405914306
2,2,2.15439740896225,-0.06456431366503235,0.35089604437351224,-0.014715307527221742,0.004210678413510257,-0.012976089850999344,0.008540488132421153,-5.4011522436780984e-08,-1.5321343379837144e-08,-6.997164726257324,-4.5,-9.000028610229492,-3.702517032623291
3,3,2.1545607573986056,-0.06247065172344442,0.3515419070124626,-0.007691192096564931,-0.0017133435532451177,-0.020979366215411507,0.016653452231214016,-5.153684685410554e-08,-2.8516319950405703e-08,-6.994299411773682,-4.5,-8.998926162719727,-3.7049288749694815
4,4,2.1548999602079393,-0.05973350068107243,0.35243998207449906,-0.0015128284389618989,-0.0022872640926391258,-0.028817016493389316,0.02696059025561115,-4.844536413344259e-08,-4.411761780617473e-08,-6.990471363067627,-4.5,-8.997352600097656,-3.7058918476104736
5,5,2.155490462882519,-0.05612517779476937,0.3536917558711767,0.0039713464205106495,-0.002327869769111303,-0.039819208035864806,0.03924140224369138,-4.477887853255425e-08,-6.127547642645364e-08,-6.985681533813477,-4.5,-8.995757102966309,-3.706680059432984
6,6,2.156395636412382,-0.05137834763146188,0.3554097853364348,0.008830780046401053,-0.002275636076208223,-0.05433454267680499,0.05329764535586627,-4.052600875014179e-08,-7.907097614912342e-08,-6.979929924011231,-4.5,-8.994185447692871,-3.707428216934204
7,7,2.157775487672877,-0.04549198498010708,0.3575888701315343,0.008779512147352958,-0.0021275773347404006,-0.0686885266229497,0.06796339586878351,-3.575423137899421e-08,-9.46979364366634e-08,-6.973531723022461,-4.5,-8.993924140930176,-3.7076256275177
8,8,2.1595988805636095,-0.03870875298690862,0.36018366766294413,0.007923801649116002,0.002329599586040989,-0.0816217749170947,0.08118785562072275,-3.075112005120254e-08,-1.0431609179218282e-07,-6.967122077941895,-4.5,-8.993402481079102,-3.706443071365357
9,9,2.1618187429497535,-0.031538965490866315,0.3629667623548559,0.007125924051846887,0.00696946425161768,-0.08745409150592874,0.09308671333152722,-2.5652558726871675e-08,-1.086964209554828e-07,-6.960713863372803,-4.5,-8.992805480957031,-3.705046653747559
