,episode,return,algo
0,0.0,-61.81076889038086,TSTMIPI-BSE
1,0.0,-65.7597782746869,TSTMIPI-BSE
2,4341.534008683068,-61.878324668884275,TSTMIPI-BSE
3,4341.534008683068,-65.65965787578183,TSTMIPI-BSE
4,8683.068017366137,-61.96186136306763,TSTMIPI-BSE
5,8683.068017366137,-65.41717308849319,TSTMIPI-BSE
6,13024.602026049204,-61.04496257002563,TSTMIPI-BSE
7,13024.602026049204,-64.16439897564956,TSTMIPI-BSE
8,17366.136034732273,-60.19320826949182,TSTMIPI-BSE
9,17366.136034732273,-63.41125348487228,TSTMIPI-BSE
10,21707.67004341534,-58.79200316267284,TSTMIPI-BSE
11,21707.67004341534,-61.79852676320008,TSTMIPI-BSE
12,26049.20405209841,-57.036235567223336,TSTMIPI-BSE
13,26049.20405209841,-60.154109160174755,TSTMIPI-BSE
14,30390.738060781478,-55.34833729859737,TSTMIPI-BSE
15,30390.738060781478,-58.38704213316073,TSTMIPI-BSE
16,34732.27206946455,-49.026013039197686,TSTMIPI-BSE
17,34732.27206946455,-51.78007608551084,TSTMIPI-BSE
18,39073.80607814761,-42.53499631845279,TSTMIPI-BSE
19,39073.80607814761,-45.416786329042786,TSTMIPI-BSE
20,43415.34008683068,-36.3581198173767,TSTMIPI-BSE
21,43415.34008683068,-35.99044597408578,TSTMIPI-BSE
22,47756.87409551375,-30.33192699500377,TSTMIPI-BSE
23,47756.87409551375,-29.15463114034241,TSTMIPI-BSE
24,52098.40810419682,-28.36787583455926,TSTMIPI-BSE
25,52098.40810419682,-23.83789132453372,TSTMIPI-BSE
26,56439.942112879886,-22.453702369381745,TSTMIPI-BSE
27,56439.942112879886,-17.28802783372759,TSTMIPI-BSE
28,60781.476121562955,-16.478740138400354,TSTMIPI-BSE
29,60781.476121562955,-7.935184598026034,TSTMIPI-BSE
30,65123.01013024602,-10.658725638366716,TSTMIPI-BSE
31,65123.01013024602,-1.072321190275077,TSTMIPI-BSE
32,69464.5441389291,-4.9056932459607046,TSTMIPI-BSE
33,69464.5441389291,8.328100637773922,TSTMIPI-BSE
34,73806.07814761216,0.8119841565561714,TSTMIPI-BSE
35,73806.07814761216,11.948567501173716,TSTMIPI-BSE
36,78147.61215629522,2.668065319982667,TSTMIPI-BSE
37,78147.61215629522,15.478664053020527,TSTMIPI-BSE
38,82489.14616497829,3.7078396031826237,TSTMIPI-BSE
39,82489.14616497829,18.96601035302922,TSTMIPI-BSE
40,86830.68017366136,8.856570689536944,TSTMIPI-BSE
41,86830.68017366136,26.93338011725288,TSTMIPI-BSE
42,91172.21418234443,10.0429660701798,TSTMIPI-BSE
43,91172.21418234443,27.071503135295536,TSTMIPI-BSE
44,95513.7481910275,10.627208257870443,TSTMIPI-BSE
45,95513.7481910275,28.923694736688866,TSTMIPI-BSE
46,99855.28219971056,15.963046355896632,TSTMIPI-BSE
47,99855.28219971056,34.39096749047166,TSTMIPI-BSE
48,104196.81620839363,20.709900602118545,TSTMIPI-BSE
49,104196.81620839363,41.14036439459987,TSTMIPI-BSE
50,108538.3502170767,20.926859625903813,TSTMIPI-BSE
51,108538.3502170767,42.077260283067986,TSTMIPI-BSE
52,112879.88422575977,26.002834182653316,TSTMIPI-BSE
53,112879.88422575977,48.183980481242585,TSTMIPI-BSE
54,117221.41823444284,24.642265810767828,TSTMIPI-BSE
55,117221.41823444284,48.768852473565815,TSTMIPI-BSE
56,121562.95224312591,24.09615293836198,TSTMIPI-BSE
57,121562.95224312591,49.54147366791301,TSTMIPI-BSE
58,125904.48625180898,29.33102824995607,TSTMIPI-BSE
59,125904.48625180898,57.720737186917184,TSTMIPI-BSE
60,130246.02026049203,34.420395264302655,TSTMIPI-BSE
61,130246.02026049203,65.69586004031072,TSTMIPI-BSE
62,134587.5542691751,38.80461345764942,TSTMIPI-BSE
63,134587.5542691751,69.79871902497253,TSTMIPI-BSE
64,138929.0882778582,43.41971726393589,TSTMIPI-BSE
65,138929.0882778582,75.68525615300454,TSTMIPI-BSE
66,143270.62228654124,47.545243603471626,TSTMIPI-BSE
67,143270.62228654124,81.55682700644334,TSTMIPI-BSE
68,147612.15629522433,52.23443995820883,TSTMIPI-BSE
69,147612.15629522433,87.54150688728646,TSTMIPI-BSE
70,151953.69030390738,56.846416594835674,TSTMIPI-BSE
71,151953.69030390738,92.19630466870905,TSTMIPI-BSE
72,156295.22431259044,56.764785778808104,TSTMIPI-BSE
73,156295.22431259044,91.24071877344907,TSTMIPI-BSE
74,160636.75832127352,56.665539364379406,TSTMIPI-BSE
75,160636.75832127352,90.82506497330803,TSTMIPI-BSE
76,164978.29232995657,61.0900882572676,TSTMIPI-BSE
77,164978.29232995657,95.62637468555823,TSTMIPI-BSE
78,169319.82633863966,65.12084758831367,TSTMIPI-BSE
79,169319.82633863966,100.60534946252714,TSTMIPI-BSE
80,173661.3603473227,69.5137351714595,TSTMIPI-BSE
81,173661.3603473227,102.92387560207379,TSTMIPI-BSE
82,178002.8943560058,72.70909892628228,TSTMIPI-BSE
83,178002.8943560058,107.327282731318,TSTMIPI-BSE
84,182344.42836468885,71.2025045017346,TSTMIPI-BSE
85,182344.42836468885,104.2431462432106,TSTMIPI-BSE
86,186685.96237337193,75.33354889412178,TSTMIPI-BSE
87,186685.96237337193,109.84548715217511,TSTMIPI-BSE
88,191027.496382055,79.12419941892489,TSTMIPI-BSE
89,191027.496382055,115.77464501581913,TSTMIPI-BSE
90,195369.03039073807,83.16024188928662,TSTMIPI-BSE
91,195369.03039073807,117.18160478212616,TSTMIPI-BSE
