,0
0,-3.7354072768280844e-06
1,-6.112351503606561e-06
2,-0.000955348032401826
3,-0.002777240359412847
4,-0.00537157780456754
5,-0.008639140967816594
6,-0.012494677254537567
7,-0.016864454258019634
8,-0.02171403445002973
9,-0.026108551128624313
10,-0.02913146434056113
11,-0.030863491755605654
12,-0.03142715000224694
13,-0.031823807922138236
14,-0.032136950232113826
15,-0.032377420509966726
16,-0.03255174663328875
17,-0.032665732222942445
18,-0.033617975187782534
19,-0.03537459267647236
20,-0.03787038231047557
21,-0.04013822955755053
22,-0.04123914880622559
23,-0.04122557990251163
24,-0.04109987973256013
25,-0.040924037858702356
26,-0.04070443034846827
27,-0.04044981431952088
28,-0.040178341382131055
29,-0.03988818980977715
30,-0.03959001138061202
31,-0.03927693354873263
32,-0.03896303542635904
33,-0.03864432987555144
34,-0.038294335057410755
35,-0.03876558508410399
36,-0.04008575028428485
37,-0.04130308774891267
38,-0.0423563304850898
39,-0.04327738384459945
40,-0.044072350918025194
41,-0.04473535741329693
42,-0.04527850566995051
43,-0.04484580374180114
44,-0.04345837439385125
45,-0.04122244158665911
46,-0.03915671153823519
47,-0.038204129653606866
48,-0.038274508242384986
49,-0.0392641093832804
50,-0.04107023175065594
51,-0.04362427073181285
52,-0.04686649907171336
53,-0.049806159128700234
54,-0.051511629777807766
55,-0.05299393267378072
56,-0.05338535947955414
57,-0.053684503784344084
58,-0.05393732097998516
59,-0.05415065579912204
60,-0.0543418111106444
61,-0.05450942236642309
62,-0.05466529896147465
63,-0.05479867591574106
64,-0.05492296755500048
65,-0.0550295508227574
66,-0.05512605281520644
67,-0.05520109277820717
68,-0.05433682573515197
69,-0.052596088825152876
70,-0.05095673232602005
71,-0.04946355182212869
72,-0.04899990074701144
73,-0.04951411982739984
74,-0.0500134492618054
75,-0.049534349902427
76,-0.04810769594284903
77,-0.04668110501012945
78,-0.04621360984402134
79,-0.046700657353829556
80,-0.04807683201629054
81,-0.05026319722099348
82,-0.052283521575106295
83,-0.05407554865718289
84,-0.05477025627044663
85,-0.0544069052885483
86,-0.053099772564315195
87,-0.05095034880377192
88,-0.048027611137619
89,-0.0444110469253296
90,-0.04016581610236436
91,-0.03622140755912673
92,-0.033518664221554584
93,-0.032023910816334045
94,-0.03161979298818096
95,-0.03219439468687346
96,-0.033642424387675174
97,-0.03588530329236983
98,-0.037932768878649714
99,-0.03883882072423628
100,-0.03866213202712965
101,-0.03694497439341138
102,-0.033280299461525775
103,-0.028153030785300626
104,-0.021228763129643724
105,-0.013021326718331228
106,-0.004046009136843942
107,0.0050440108284823815
108,0.013281170432272837
109,0.019784280469463233
110,0.023760338954798677
111,0.025408412015524018
112,0.024976182375274103
113,0.023572780681833994
114,0.02138397902647915
115,0.01939062454745155
116,0.017628583374603934
117,0.016064581993997518
118,0.015574696205525207
119,0.01610142054478736
120,0.01755411107843674
121,0.01982709685585826
