,angles
340,-0.0584074840602499
341,-0.05844124501859144
342,-0.05845310401244457
343,-0.05844476732304837
344,-0.05841825600884388
345,-0.05837536294539597
346,-0.05831732062351548
347,-0.058246801044212364
348,-0.058164516609013
349,-0.05807214560011022
350,-0.057970215367367794
351,-0.05786138876118444
352,-0.057745854367359115
353,-0.057624949791619445
354,-0.05749866480701202
355,-0.05736746630137891
356,-0.05723192013262865
357,-0.05709258288406571
358,-0.05711482677099025
359,-0.057276780947180826
360,-0.05756429519724748
361,-0.058121997295068804
362,-0.05892341942630448
363,-0.059794643769045815
364,-0.060719701721710095
365,-0.061553562201060764
366,-0.06228541241615824
367,-0.0629252209353132
368,-0.06364684603402165
369,-0.06429657684376074
370,-0.06502757456848234
371,-0.06582492578282245
372,-0.06668290410865206
373,-0.06759457139160209
374,-0.06841589821564531
375,-0.06913588029015698
376,-0.06963749750139091
377,-0.07008769533349668
378,-0.07047469396573539
379,-0.07080464791520448
380,-0.07108342556295405
381,-0.07131668694142351
382,-0.07137946576467619
383,-0.07125920019082545
384,-0.0709761400061755
385,-0.07054491138797181
386,-0.07015469115681508
387,-0.06978522039986007
388,-0.06960031954231578
389,-0.06943602548047349
390,-0.06926997172240416
391,-0.06910197660986185
392,-0.06893222235736489
393,-0.06876207324651394
394,-0.06859102859605115
395,-0.06841906098582233
396,-0.06824639980248705
397,-0.06823726634012546
398,-0.06823003417098718
399,-0.06820480638007101
400,-0.0681630636447052
401,-0.06810779632866798
402,-0.06820475693112985
403,-0.06843208419292904
404,-0.068776593926636
405,-0.06908790959991898
406,-0.06934967289040582
407,-0.06956681519451824
408,-0.06990871646734852
409,-0.07051378624498347
410,-0.0712062795775488
411,-0.07196965484178258
412,-0.07279654593786174
413,-0.07354181633759058
414,-0.07419356742234691
415,-0.07492669333873686
416,-0.07572696575395908
417,-0.07658743532484157
418,-0.0775020629643087
419,-0.07846553717363039
420,-0.07933335314072512
421,-0.07996812739858636
422,-0.08024373378356942
423,-0.08015831016898733
424,-0.0799276057189755
425,-0.07971549093479387
426,-0.07950624876994912
427,-0.0792997007409843
428,-0.0790956310784917
429,-0.07889377406443067
430,-0.07869393972639657
431,-0.07849726615623609
432,-0.078302752568805
433,-0.07810996987922529
434,-0.0779189044401366
435,-0.07772935546922552
436,-0.07754029140610577
437,-0.07735109602575672
438,-0.07732750721423481
439,-0.07744634819908727
440,-0.07755473410681298
441,-0.07763357599611947
442,-0.0776866448524821
443,-0.07788114302783264
444,-0.07805710110153902
445,-0.07819735026138558
446,-0.07847019746104658
447,-0.07871665326535505
448,-0.07879223913949551
449,-0.07885876438917358
450,-0.0790646267703322
451,-0.07925230349044328
452,-0.07940398679620318
453,-0.07968837567966841
454,-0.07994631199957426
455,-0.08003324585188772
456,-0.07993518472042095
457,-0.07967021608644496
458,-0.07925506720805559
459,-0.07870493790386074
460,-0.07803360784838753
461,-0.07725353686323902
462,-0.07655055953542417
463,-0.07590224489700816
464,-0.07530168052135724
465,-0.07474317645089763
466,-0.07422294984808805
467,-0.07373584080235282
468,-0.0732774147554885
469,-0.0728449852017746
470,-0.07243713117374649
471,-0.07205113881886306
472,-0.07168528912121327
473,-0.0713372697918499
474,-0.07100563605030338
475,-0.07068816297709905
476,-0.07038353657835689
477,-0.07009074711305469
478,-0.06980829870852145
479,-0.06953530701535027
480,-0.06927053429964554
481,-0.06901307000175153
482,-0.06876305201758474
483,-0.06839136295714554
484,-0.06788009267924944
485,-0.06724293555508898
486,-0.0666678218605296
487,-0.06613226214607144
488,-0.06563181560837851
489,-0.06516273772660158
490,-0.0647218145216399
491,-0.06430586991771105
492,-0.0639136003827814
493,-0.06354168250046048
494,-0.06318802820636517
495,-0.06285097058409767
496,-0.06252818686480208
497,-0.06221834986849025
498,-0.06192106122770961
499,-0.061634693205348146
500,-0.061358400726310755
